URS Requirement ID,Priority,Requirement,Acceptance Criteria,Business Process,Epic,Design Component,Design Reference,API,Database Entity,User Story,Test Case ID,Test Type,Test Case,Test Result,Defect Reference,Release Version
BFR-GOV-002,P1,The platform shall distinguish BuntuFin services from regulated partner services.,Each financial product identifies the legal service provider presented to the customer.,Platform governance,EPIC-GOV,Configuration (`config-svc`) / Product catalogue + `partner-svc`,05-fds/domain-01-platform-governance.md#bfr-gov-002,GET /api/v1/products/{product_code}; POST /api/admin/v1/products/{id}/versions,"product, product_version.legal_provider_partner_id **NOT NULL**, partner",US-GOV-002,TC-GOV-002-5,Integration,Suspended provider removes product from customer catalogue,NOT_EXECUTED,,
BFR-GOV-003,P1,The platform shall maintain product-version history.,"Every product configuration change records version, author, approver and effective date.",Platform governance,EPIC-GOV,Configuration (`config-svc`) / Versioned artefact pattern,05-fds/domain-01-platform-governance.md#bfr-gov-003,GET /api/admin/v1/products/{id}/versions; GET /api/admin/v1/products/{id}/versions/{version}; GET /api/admin/v1/products/{id}/as-of?at=2026-05-01T00:00:00Z,"product_version(version, effective_from, effective_to, author_id, approver_id, status, diff)",US-GOV-003,TC-GOV-003-1,Positive functional,Change creates new version with author/approver/effective date,NOT_EXECUTED,,
BFR-GOV-003,P1,The platform shall maintain product-version history.,"Every product configuration change records version, author, approver and effective date.",Platform governance,EPIC-GOV,Configuration (`config-svc`) / Versioned artefact pattern,05-fds/domain-01-platform-governance.md#bfr-gov-003,GET /api/admin/v1/products/{id}/versions; GET /api/admin/v1/products/{id}/versions/{version}; GET /api/admin/v1/products/{id}/as-of?at=2026-05-01T00:00:00Z,"product_version(version, effective_from, effective_to, author_id, approver_id, status, diff)",US-GOV-003,TC-GOV-003-2,Negative functional,Overlapping effective windows rejected,NOT_EXECUTED,,
BFR-GOV-003,P1,The platform shall maintain product-version history.,"Every product configuration change records version, author, approver and effective date.",Platform governance,EPIC-GOV,Configuration (`config-svc`) / Versioned artefact pattern,05-fds/domain-01-platform-governance.md#bfr-gov-003,GET /api/admin/v1/products/{id}/versions; GET /api/admin/v1/products/{id}/versions/{version}; GET /api/admin/v1/products/{id}/as-of?at=2026-05-01T00:00:00Z,"product_version(version, effective_from, effective_to, author_id, approver_id, status, diff)",US-GOV-003,TC-GOV-003-3,Positive functional,`as-of` query returns the historically correct version,NOT_EXECUTED,,
BFR-GOV-003,P1,The platform shall maintain product-version history.,"Every product configuration change records version, author, approver and effective date.",Platform governance,EPIC-GOV,Configuration (`config-svc`) / Versioned artefact pattern,05-fds/domain-01-platform-governance.md#bfr-gov-003,GET /api/admin/v1/products/{id}/versions; GET /api/admin/v1/products/{id}/versions/{version}; GET /api/admin/v1/products/{id}/as-of?at=2026-05-01T00:00:00Z,"product_version(version, effective_from, effective_to, author_id, approver_id, status, diff)",US-GOV-003,TC-GOV-003-4,Audit verification,Version history immutable and complete,NOT_EXECUTED,,
BFR-GOV-003,P1,The platform shall maintain product-version history.,"Every product configuration change records version, author, approver and effective date.",Platform governance,EPIC-GOV,Configuration (`config-svc`) / Versioned artefact pattern,05-fds/domain-01-platform-governance.md#bfr-gov-003,GET /api/admin/v1/products/{id}/versions; GET /api/admin/v1/products/{id}/versions/{version}; GET /api/admin/v1/products/{id}/as-of?at=2026-05-01T00:00:00Z,"product_version(version, effective_from, effective_to, author_id, approver_id, status, diff)",US-GOV-003,TC-GOV-003-5,Integration,A payment persists and can resolve its product version,NOT_EXECUTED,,
BFR-GOV-004,P1,The platform shall support feature flags by country.,A feature can be enabled in Rwanda while disabled elsewhere.,Platform governance,EPIC-GOV,Configuration (`config-svc`) / Flag resolution,05-fds/domain-01-platform-governance.md#bfr-gov-004,GET /api/v1/capabilities; PUT /api/admin/v1/flags/{key}?scope_type=COUNTRY&scope_ref=RW,"feature_flag(key, scope_type, scope_ref, enabled)",US-GOV-004,TC-GOV-004-1,Positive functional,"Feature on in RW, off elsewhere",NOT_EXECUTED,,
BFR-GOV-004,P1,The platform shall support feature flags by country.,A feature can be enabled in Rwanda while disabled elsewhere.,Platform governance,EPIC-GOV,Configuration (`config-svc`) / Flag resolution,05-fds/domain-01-platform-governance.md#bfr-gov-004,GET /api/v1/capabilities; PUT /api/admin/v1/flags/{key}?scope_type=COUNTRY&scope_ref=RW,"feature_flag(key, scope_type, scope_ref, enabled)",US-GOV-004,TC-GOV-004-2,Negative functional,Direct API call to disabled feature rejected server-side,NOT_EXECUTED,,
BFR-GOV-004,P1,The platform shall support feature flags by country.,A feature can be enabled in Rwanda while disabled elsewhere.,Platform governance,EPIC-GOV,Configuration (`config-svc`) / Flag resolution,05-fds/domain-01-platform-governance.md#bfr-gov-004,GET /api/v1/capabilities; PUT /api/admin/v1/flags/{key}?scope_type=COUNTRY&scope_ref=RW,"feature_flag(key, scope_type, scope_ref, enabled)",US-GOV-004,TC-GOV-004-3,Security,Client cannot self-declare its country to bypass the flag,NOT_EXECUTED,,
BFR-GOV-004,P1,The platform shall support feature flags by country.,A feature can be enabled in Rwanda while disabled elsewhere.,Platform governance,EPIC-GOV,Configuration (`config-svc`) / Flag resolution,05-fds/domain-01-platform-governance.md#bfr-gov-004,GET /api/v1/capabilities; PUT /api/admin/v1/flags/{key}?scope_type=COUNTRY&scope_ref=RW,"feature_flag(key, scope_type, scope_ref, enabled)",US-GOV-004,TC-GOV-004-4,Audit verification,Flag change audited,NOT_EXECUTED,,
BFR-GOV-005,P1,The platform shall support feature flags by sandbox cohort.,Admin can enable functionality for selected pilot users only.,Platform governance,EPIC-GOV,Configuration (`config-svc`) / Cohort membership,05-fds/domain-01-platform-governance.md#bfr-gov-005,POST /api/admin/v1/cohorts; POST /api/admin/v1/cohorts/{id}/members; DELETE /api/admin/v1/cohorts/{id}/members/{customer_id},"cohort, cohort_member(customer_id, added_by, added_at, removed_at)",US-GOV-005,TC-GOV-005-1,Positive functional,Cohort member gets the feature,NOT_EXECUTED,,
BFR-GOV-005,P1,The platform shall support feature flags by sandbox cohort.,Admin can enable functionality for selected pilot users only.,Platform governance,EPIC-GOV,Configuration (`config-svc`) / Cohort membership,05-fds/domain-01-platform-governance.md#bfr-gov-005,POST /api/admin/v1/cohorts; POST /api/admin/v1/cohorts/{id}/members; DELETE /api/admin/v1/cohorts/{id}/members/{customer_id},"cohort, cohort_member(customer_id, added_by, added_at, removed_at)",US-GOV-005,TC-GOV-005-2,Negative functional,Non-member rejected,NOT_EXECUTED,,
BFR-GOV-005,P1,The platform shall support feature flags by sandbox cohort.,Admin can enable functionality for selected pilot users only.,Platform governance,EPIC-GOV,Configuration (`config-svc`) / Cohort membership,05-fds/domain-01-platform-governance.md#bfr-gov-005,POST /api/admin/v1/cohorts; POST /api/admin/v1/cohorts/{id}/members; DELETE /api/admin/v1/cohorts/{id}/members/{customer_id},"cohort, cohort_member(customer_id, added_by, added_at, removed_at)",US-GOV-005,TC-GOV-005-3,Positive functional,Removal takes effect immediately (cache invalidation),NOT_EXECUTED,,
BFR-GOV-005,P1,The platform shall support feature flags by sandbox cohort.,Admin can enable functionality for selected pilot users only.,Platform governance,EPIC-GOV,Configuration (`config-svc`) / Cohort membership,05-fds/domain-01-platform-governance.md#bfr-gov-005,POST /api/admin/v1/cohorts; POST /api/admin/v1/cohorts/{id}/members; DELETE /api/admin/v1/cohorts/{id}/members/{customer_id},"cohort, cohort_member(customer_id, added_by, added_at, removed_at)",US-GOV-005,TC-GOV-005-4,Permissions,Only cohort-admin role can change membership,NOT_EXECUTED,,
BFR-GOV-005,P1,The platform shall support feature flags by sandbox cohort.,Admin can enable functionality for selected pilot users only.,Platform governance,EPIC-GOV,Configuration (`config-svc`) / Cohort membership,05-fds/domain-01-platform-governance.md#bfr-gov-005,POST /api/admin/v1/cohorts; POST /api/admin/v1/cohorts/{id}/members; DELETE /api/admin/v1/cohorts/{id}/members/{customer_id},"cohort, cohort_member(customer_id, added_by, added_at, removed_at)",US-GOV-005,TC-GOV-005-5,Audit verification,Membership changes audited,NOT_EXECUTED,,
BFR-GOV-006,P1,The platform shall support configurable transaction limits.,"Limits can be configured by product, customer tier, currency and corridor.",Platform governance,EPIC-GOV,Configuration (`config-svc`) / Limit rules + limit evaluation service,05-fds/domain-01-platform-governance.md#bfr-gov-006,POST /api/admin/v1/limits; GET /api/v1/limits/applicable?product=&currency=&corridor=; POST /internal/limits/evaluate,"limit_rule(product_id, tier, currency_code, corridor, limit_type, value_minor, config_version_id)",US-GOV-006,TC-GOV-006-1,Positive functional,Transaction within limit succeeds,NOT_EXECUTED,,
BFR-GOV-006,P1,The platform shall support configurable transaction limits.,"Limits can be configured by product, customer tier, currency and corridor.",Platform governance,EPIC-GOV,Configuration (`config-svc`) / Limit rules + limit evaluation service,05-fds/domain-01-platform-governance.md#bfr-gov-006,POST /api/admin/v1/limits; GET /api/v1/limits/applicable?product=&currency=&corridor=; POST /internal/limits/evaluate,"limit_rule(product_id, tier, currency_code, corridor, limit_type, value_minor, config_version_id)",US-GOV-006,TC-GOV-006-2,Negative functional,"Transaction exceeding daily limit refused, no debit",NOT_EXECUTED,,
BFR-GOV-006,P1,The platform shall support configurable transaction limits.,"Limits can be configured by product, customer tier, currency and corridor.",Platform governance,EPIC-GOV,Configuration (`config-svc`) / Limit rules + limit evaluation service,05-fds/domain-01-platform-governance.md#bfr-gov-006,POST /api/admin/v1/limits; GET /api/v1/limits/applicable?product=&currency=&corridor=; POST /internal/limits/evaluate,"limit_rule(product_id, tier, currency_code, corridor, limit_type, value_minor, config_version_id)",US-GOV-006,TC-GOV-006-3,Concurrency,Concurrent transactions cannot jointly exceed the limit,NOT_EXECUTED,,
BFR-GOV-006,P1,The platform shall support configurable transaction limits.,"Limits can be configured by product, customer tier, currency and corridor.",Platform governance,EPIC-GOV,Configuration (`config-svc`) / Limit rules + limit evaluation service,05-fds/domain-01-platform-governance.md#bfr-gov-006,POST /api/admin/v1/limits; GET /api/v1/limits/applicable?product=&currency=&corridor=; POST /internal/limits/evaluate,"limit_rule(product_id, tier, currency_code, corridor, limit_type, value_minor, config_version_id)",US-GOV-006,TC-GOV-006-4,Positive functional,Most restrictive rule wins when several match,NOT_EXECUTED,,
BFR-GOV-006,P1,The platform shall support configurable transaction limits.,"Limits can be configured by product, customer tier, currency and corridor.",Platform governance,EPIC-GOV,Configuration (`config-svc`) / Limit rules + limit evaluation service,05-fds/domain-01-platform-governance.md#bfr-gov-006,POST /api/admin/v1/limits; GET /api/v1/limits/applicable?product=&currency=&corridor=; POST /internal/limits/evaluate,"limit_rule(product_id, tier, currency_code, corridor, limit_type, value_minor, config_version_id)",US-GOV-006,TC-GOV-006-5,Error handling,No matching rule fails closed,NOT_EXECUTED,,
BFR-GOV-006,P1,The platform shall support configurable transaction limits.,"Limits can be configured by product, customer tier, currency and corridor.",Platform governance,EPIC-GOV,Configuration (`config-svc`) / Limit rules + limit evaluation service,05-fds/domain-01-platform-governance.md#bfr-gov-006,POST /api/admin/v1/limits; GET /api/v1/limits/applicable?product=&currency=&corridor=; POST /internal/limits/evaluate,"limit_rule(product_id, tier, currency_code, corridor, limit_type, value_minor, config_version_id)",US-GOV-006,TC-GOV-006-6,Decimal and rounding,Aggregation is exact in minor units,NOT_EXECUTED,,
BFR-GOV-006,P1,The platform shall support configurable transaction limits.,"Limits can be configured by product, customer tier, currency and corridor.",Platform governance,EPIC-GOV,Configuration (`config-svc`) / Limit rules + limit evaluation service,05-fds/domain-01-platform-governance.md#bfr-gov-006,POST /api/admin/v1/limits; GET /api/v1/limits/applicable?product=&currency=&corridor=; POST /internal/limits/evaluate,"limit_rule(product_id, tier, currency_code, corridor, limit_type, value_minor, config_version_id)",US-GOV-006,TC-GOV-006-7,Audit verification,Deciding rule recorded on the transaction,NOT_EXECUTED,,
BFR-GOV-007,P1,The system shall maintain effective dates for regulated configuration.,Future rule changes can be scheduled and previous values remain auditable.,Platform governance,EPIC-GOV,Configuration (`config-svc`) / Effective-dated resolution,05-fds/domain-01-platform-governance.md#bfr-gov-007,POST /api/admin/v1/config/{id}/versions; GET /api/admin/v1/config/{id}/timeline; DELETE /api/admin/v1/config/{id}/versions/{version},"config_version(effective_from, effective_to, status)",US-GOV-007,TC-GOV-007-1,Positive functional,Scheduled change activates at the effective instant,NOT_EXECUTED,,
BFR-GOV-007,P1,The system shall maintain effective dates for regulated configuration.,Future rule changes can be scheduled and previous values remain auditable.,Platform governance,EPIC-GOV,Configuration (`config-svc`) / Effective-dated resolution,05-fds/domain-01-platform-governance.md#bfr-gov-007,POST /api/admin/v1/config/{id}/versions; GET /api/admin/v1/config/{id}/timeline; DELETE /api/admin/v1/config/{id}/versions/{version},"config_version(effective_from, effective_to, status)",US-GOV-007,TC-GOV-007-2,Negative functional,Backdating a regulated key rejected,NOT_EXECUTED,,
BFR-GOV-007,P1,The system shall maintain effective dates for regulated configuration.,Future rule changes can be scheduled and previous values remain auditable.,Platform governance,EPIC-GOV,Configuration (`config-svc`) / Effective-dated resolution,05-fds/domain-01-platform-governance.md#bfr-gov-007,POST /api/admin/v1/config/{id}/versions; GET /api/admin/v1/config/{id}/timeline; DELETE /api/admin/v1/config/{id}/versions/{version},"config_version(effective_from, effective_to, status)",US-GOV-007,TC-GOV-007-3,Positive functional,Historical resolution returns the value in force then,NOT_EXECUTED,,
BFR-GOV-007,P1,The system shall maintain effective dates for regulated configuration.,Future rule changes can be scheduled and previous values remain auditable.,Platform governance,EPIC-GOV,Configuration (`config-svc`) / Effective-dated resolution,05-fds/domain-01-platform-governance.md#bfr-gov-007,POST /api/admin/v1/config/{id}/versions; GET /api/admin/v1/config/{id}/timeline; DELETE /api/admin/v1/config/{id}/versions/{version},"config_version(effective_from, effective_to, status)",US-GOV-007,TC-GOV-007-4,Audit verification,Previous value remains retrievable after supersession,NOT_EXECUTED,,
BFR-GOV-008,P1,Material configuration changes shall require approval.,Maker cannot approve own regulated configuration change.,Platform governance,EPIC-GOV,Configuration (`config-svc`) / Maker-checker,05-fds/domain-01-platform-governance.md#bfr-gov-008,POST /api/admin/v1/config/{id}/versions/{version}/approve; POST /api/admin/v1/config/{id}/versions/{version}/reject; GET /api/admin/v1/approvals?status=PENDING,"config_version(author_id, approver_id, status) with **CHECK approver_id <> author_id**",US-GOV-008,TC-GOV-008-1,Positive functional,Second approver activates the change,NOT_EXECUTED,,
BFR-GOV-008,P1,Material configuration changes shall require approval.,Maker cannot approve own regulated configuration change.,Platform governance,EPIC-GOV,Configuration (`config-svc`) / Maker-checker,05-fds/domain-01-platform-governance.md#bfr-gov-008,POST /api/admin/v1/config/{id}/versions/{version}/approve; POST /api/admin/v1/config/{id}/versions/{version}/reject; GET /api/admin/v1/approvals?status=PENDING,"config_version(author_id, approver_id, status) with **CHECK approver_id <> author_id**",US-GOV-008,TC-GOV-008-2,Negative functional,Self-approval refused at application layer,NOT_EXECUTED,,
BFR-GOV-008,P1,Material configuration changes shall require approval.,Maker cannot approve own regulated configuration change.,Platform governance,EPIC-GOV,Configuration (`config-svc`) / Maker-checker,05-fds/domain-01-platform-governance.md#bfr-gov-008,POST /api/admin/v1/config/{id}/versions/{version}/approve; POST /api/admin/v1/config/{id}/versions/{version}/reject; GET /api/admin/v1/approvals?status=PENDING,"config_version(author_id, approver_id, status) with **CHECK approver_id <> author_id**",US-GOV-008,TC-GOV-008-3,Security,Self-approval refused at database layer even if the application check is bypassed,NOT_EXECUTED,,
BFR-GOV-008,P1,Material configuration changes shall require approval.,Maker cannot approve own regulated configuration change.,Platform governance,EPIC-GOV,Configuration (`config-svc`) / Maker-checker,05-fds/domain-01-platform-governance.md#bfr-gov-008,POST /api/admin/v1/config/{id}/versions/{version}/approve; POST /api/admin/v1/config/{id}/versions/{version}/reject; GET /api/admin/v1/approvals?status=PENDING,"config_version(author_id, approver_id, status) with **CHECK approver_id <> author_id**",US-GOV-008,TC-GOV-008-4,Permissions,Approver without domain authority refused,NOT_EXECUTED,,
BFR-GOV-008,P1,Material configuration changes shall require approval.,Maker cannot approve own regulated configuration change.,Platform governance,EPIC-GOV,Configuration (`config-svc`) / Maker-checker,05-fds/domain-01-platform-governance.md#bfr-gov-008,POST /api/admin/v1/config/{id}/versions/{version}/approve; POST /api/admin/v1/config/{id}/versions/{version}/reject; GET /api/admin/v1/approvals?status=PENDING,"config_version(author_id, approver_id, status) with **CHECK approver_id <> author_id**",US-GOV-008,TC-GOV-008-5,Negative functional,Pending change does not take effect on its effective date,NOT_EXECUTED,,
BFR-GOV-008,P1,Material configuration changes shall require approval.,Maker cannot approve own regulated configuration change.,Platform governance,EPIC-GOV,Configuration (`config-svc`) / Maker-checker,05-fds/domain-01-platform-governance.md#bfr-gov-008,POST /api/admin/v1/config/{id}/versions/{version}/approve; POST /api/admin/v1/config/{id}/versions/{version}/reject; GET /api/admin/v1/approvals?status=PENDING,"config_version(author_id, approver_id, status) with **CHECK approver_id <> author_id**",US-GOV-008,TC-GOV-008-6,Audit verification,Attempted self-approval audited,NOT_EXECUTED,,
BFR-GOV-009,P1,The system shall support emergency feature suspension.,Authorised admin can disable a product/corridor without taking down entire platform.,Platform governance,EPIC-GOV,Configuration (`config-svc`) / Kill switch,05-fds/domain-01-platform-governance.md#bfr-gov-009,POST /api/admin/v1/emergency/suspend; POST /api/admin/v1/emergency/resume; GET /api/admin/v1/emergency/active,"feature_flag(suspended_at, suspended_by, suspension_reason, suspension_expires_at)",US-GOV-009,TC-GOV-009-1,Positive functional,Suspending one corridor leaves others working,NOT_EXECUTED,,
BFR-GOV-009,P1,The system shall support emergency feature suspension.,Authorised admin can disable a product/corridor without taking down entire platform.,Platform governance,EPIC-GOV,Configuration (`config-svc`) / Kill switch,05-fds/domain-01-platform-governance.md#bfr-gov-009,POST /api/admin/v1/emergency/suspend; POST /api/admin/v1/emergency/resume; GET /api/admin/v1/emergency/active,"feature_flag(suspended_at, suspended_by, suspension_reason, suspension_expires_at)",US-GOV-009,TC-GOV-009-2,Negative functional,Suspension without reason rejected,NOT_EXECUTED,,
BFR-GOV-009,P1,The system shall support emergency feature suspension.,Authorised admin can disable a product/corridor without taking down entire platform.,Platform governance,EPIC-GOV,Configuration (`config-svc`) / Kill switch,05-fds/domain-01-platform-governance.md#bfr-gov-009,POST /api/admin/v1/emergency/suspend; POST /api/admin/v1/emergency/resume; GET /api/admin/v1/emergency/active,"feature_flag(suspended_at, suspended_by, suspension_reason, suspension_expires_at)",US-GOV-009,TC-GOV-009-3,Permissions,Unauthorised role cannot suspend,NOT_EXECUTED,,
BFR-GOV-009,P1,The system shall support emergency feature suspension.,Authorised admin can disable a product/corridor without taking down entire platform.,Platform governance,EPIC-GOV,Configuration (`config-svc`) / Kill switch,05-fds/domain-01-platform-governance.md#bfr-gov-009,POST /api/admin/v1/emergency/suspend; POST /api/admin/v1/emergency/resume; GET /api/admin/v1/emergency/active,"feature_flag(suspended_at, suspended_by, suspension_reason, suspension_expires_at)",US-GOV-009,TC-GOV-009-4,Permissions,Resume requires a second approver,NOT_EXECUTED,,
BFR-GOV-009,P1,The system shall support emergency feature suspension.,Authorised admin can disable a product/corridor without taking down entire platform.,Platform governance,EPIC-GOV,Configuration (`config-svc`) / Kill switch,05-fds/domain-01-platform-governance.md#bfr-gov-009,POST /api/admin/v1/emergency/suspend; POST /api/admin/v1/emergency/resume; GET /api/admin/v1/emergency/active,"feature_flag(suspended_at, suspended_by, suspension_reason, suspension_expires_at)",US-GOV-009,TC-GOV-009-5,Integration,"In-flight authorised transactions follow their recovery path, not silent loss",NOT_EXECUTED,,
BFR-GOV-009,P1,The system shall support emergency feature suspension.,Authorised admin can disable a product/corridor without taking down entire platform.,Platform governance,EPIC-GOV,Configuration (`config-svc`) / Kill switch,05-fds/domain-01-platform-governance.md#bfr-gov-009,POST /api/admin/v1/emergency/suspend; POST /api/admin/v1/emergency/resume; GET /api/admin/v1/emergency/active,"feature_flag(suspended_at, suspended_by, suspension_reason, suspension_expires_at)",US-GOV-009,TC-GOV-009-6,Audit verification,Suspension audited and alerted,NOT_EXECUTED,,
BFR-GOV-010,P1,All regulatory configuration shall be auditable.,"Who, what, when, old value and new value are retrievable.",Platform governance,EPIC-GOV,Configuration (`config-svc`) / `config-svc` → `audit-svc`,05-fds/domain-01-platform-governance.md#bfr-gov-010,GET /api/admin/v1/audit?target_type=CONFIG&target_id=&from=&to=; POST /api/admin/v1/audit/export,"audit_event (append-only, hash-chained)",US-GOV-010,TC-GOV-010-1,Positive functional,Config change produces complete audit record,NOT_EXECUTED,,
BFR-GOV-010,P1,All regulatory configuration shall be auditable.,"Who, what, when, old value and new value are retrievable.",Platform governance,EPIC-GOV,Configuration (`config-svc`) / `config-svc` → `audit-svc`,05-fds/domain-01-platform-governance.md#bfr-gov-010,GET /api/admin/v1/audit?target_type=CONFIG&target_id=&from=&to=; POST /api/admin/v1/audit/export,"audit_event (append-only, hash-chained)",US-GOV-010,TC-GOV-010-2,Audit verification,Old and new values both retrievable,NOT_EXECUTED,,
BFR-GOV-010,P1,All regulatory configuration shall be auditable.,"Who, what, when, old value and new value are retrievable.",Platform governance,EPIC-GOV,Configuration (`config-svc`) / `config-svc` → `audit-svc`,05-fds/domain-01-platform-governance.md#bfr-gov-010,GET /api/admin/v1/audit?target_type=CONFIG&target_id=&from=&to=; POST /api/admin/v1/audit/export,"audit_event (append-only, hash-chained)",US-GOV-010,TC-GOV-010-3,Security,Audit modification denied at database level,NOT_EXECUTED,,
BFR-GOV-010,P1,All regulatory configuration shall be auditable.,"Who, what, when, old value and new value are retrievable.",Platform governance,EPIC-GOV,Configuration (`config-svc`) / `config-svc` → `audit-svc`,05-fds/domain-01-platform-governance.md#bfr-gov-010,GET /api/admin/v1/audit?target_type=CONFIG&target_id=&from=&to=; POST /api/admin/v1/audit/export,"audit_event (append-only, hash-chained)",US-GOV-010,TC-GOV-010-4,Security,Hash chain detects tampering,NOT_EXECUTED,,
